id,domain,feature,reference_evidence,target_evidence,acceptance_test,status,notes
124,billing,Relay settlement subscription consumption (subscription-first billing),reference model/subscription.go PreConsumeUserSubscription/RefundSubscriptionPreConsume/PostConsumeUserSubscriptionDelta + SubscriptionPreConsumeRecord ledger + service/billing_session.go preference dispatch + lazy due-reset during pre-consume + appendBillingInfo log fields,service/subscription_funding.go (idempotent request-id ledger + candidate walk end_time asc + lazy due-reset + delta clamp/exceeds guards + 7-day record cleanup in jobs.go) + service/billing_session.go (FundingSession: subscription_first default with allow_wallet_overflow gate / wallet_first / subscription_only / wallet_only; settle delta; refund-with-retry) + relay/controller.go (pre-consume/refund/settle + billing log fields via buildLogOther),go test ./service/ -run 'TestPreConsumeSubscription|TestRefundSubscriptionPreConsume|TestPostConsumeUserSubscriptionDelta|TestFundingSession|TestConcurrentSubscriptionPreConsume|TestCleanupSubscriptionPreConsumeRecords' + go test ./relay/ -run TestRelaySubscription + go test -race ./service/,PASS,implemented iteration 75: ledger replay returns the original reservation and refunded ids are permanently rejected; ledger request id is generated server-side (client X-Request-Id is never a ledger key — replay hardening); refund inlines the delta update in one tx (SQLite-safe; reference nests an independent tx); wallet RefundUserQuota stays single-shot (non-idempotent) while subscription refunds retry ×3; consume log carries billing_source/subscription_id/pre_consumed/post_delta/total/used/remain/consumed/plan fields + wallet_quota_deducted=0; funding-insufficiency status is 400 vs reference 403 (deviation #18); lazy-reset never-period schedule handling per deviation #17
125,api,User subscription self view + billing preference contract,"reference controller/subscription.go GetSubscriptionSelf ({billing_preference,subscriptions,all_subscriptions}) + UpdateSubscriptionPreference (PUT /api/subscription/self/preference; NormalizeBillingPreference default subscription_first)",controller/subscription.go GetSelfSubscription + UpdateSubscriptionPreference + service/user_setting.go (UserSettings JSON read-modify-write; NormalizeBillingPreference) + router/router.go PUT /api/subscription/self/preference + web/src/views/ConsoleView.tsx subscription card (active list + preference select),go test ./controller/ -run 'TestSubscriptionSelfView|TestSubscriptionPreferenceUpdate|TestSubscriptionBalancePay' + go test ./service/ -run 'TestUserSettingsMergePreservesFields|TestNormalizeBillingPreference' + go test ./router/ -run TestSubscriptionSelfRoute,PASS,"implemented iteration 75: self view returns {billing_preference (normalized), subscriptions (active, {subscription:...} rows), all_subscriptions} with list errors degrading to empty arrays; PUT normalizes unknown values to subscription_first silently (never 4xx for bad values, 400 参数错误 only for malformed JSON); preference persists in users.setting JSON alongside quota-warning fields without clobbering (read-modify-write); route carries no CriticalRateLimit, matching the reference"
126,api,Channel write-side admin batch (status/tag/delete/fix/tag-models),"reference router/channel-router.go:52-60,71-73 + controller/channel.go UpdateChannelStatus/BatchUpdateChannelStatus/DeleteDisabledChannel/DisableTagChannels/EnableTagChannels/EditTagChannels/DeleteChannelBatch/FixChannelsAbilities/BatchSetChannelTag/GetTagModels",service/channel_write.go + controller/channel_write.go + router/router.go,go test ./controller/ -run 'TestChannelStatus|TestChannelDeleteDisabled|TestChannelTag|TestChannelDeleteBatch|TestChannelFix|TestChannelBatchTag',PASS,"status endpoints (manageable-status validation, changed bool, other_info status_reason/status_time, ability-enabled follows); tag disable/enable/edit (rename, priority/weight/model_mapping/models/groups/param+header overrides with reference JSON validation messages, ability rebuild on models/groups change); disabled purge; batch delete (tx with abilities); fix truncates abilities and rebuilds models-x-groups cross product per channel with status/priority/weight/tag (try-lock guard with the reference busy message); batch tag with ability mirroring; tag/models returns the longest model list; audit logs via RecordSystemLog"
127,api,Channel copy / multi-key / upstream models / balance,"reference router/channel-router.go:48-49,61-62,73-74 + controller/channel.go CopyChannel/ManageMultiKeys/FetchUpstreamModels/FetchModels + controller/channel-billing.go UpdateChannelBalance/UpdateAllChannelsBalance",service/channel_write.go + controller/channel_write.go + constant/channel.go ChannelBaseURLs,go test ./controller/ -run 'TestChannelCopy|TestChannelMultiKey|TestChannelFetch|TestChannelBalance',PASS,"copy clones with key (suffix default _复制, reset_balance default true); multi-key manage (get_key_status pagination + counts + previews + status filter, disable/enable key, enable/disable all with counts, delete key with reindex, delete auto-disabled keys, reference Chinese messages, non-multikey and out-of-range guards); fetch_models (stored channel + request-built channel, /v1/models with provider headers, Gemini /v1beta/models, 获取模型列表失败 error shape); balance (OpenAI dashboard subscription+usage two-call with start/end dates, balance persisted, zero-balance auto-disable 余额不足, multikey refusal, 尚未实现 for other types = reference default); ChannelBaseURLs table added (factual provider endpoints indexed by TokenRouter type numbering)"
128,api,Redemption admin contract (create/list/search/get/update/delete),"reference controller/redemption.go + router/api-router.go:264-270 (GET /, GET /search, GET /:id, POST /, PUT /, DELETE /invalid, DELETE /:id)",controller/wallet.go + controller/redemption_admin.go + service/redemption.go + router/router.go,go test ./controller/ -run 'TestRedemption',PASS,"compliance-gated batch create (1-20 rune name, count 1-100, future expiry, 32-hex keys in data); pageInfo list; keyword search (numeric keywords also match id, name prefix); status filters (expired/1/2/3); get with ""id 为空！""; full update with expiry validation + status_only mode; delete by id and invalid-sweep (used/disabled/expired); all reference Chinese messages; contract tests in controller/redemption_admin_test.go"
129,data,Redemption status-code numbering parity,"reference model/redemption.go status constants: enabled=1, disabled=2, used=3",service/redemption.go constants + TestRedemptionStatusCodesMatchReference guard,go test ./controller/ -run TestRedemptionStatusCodesMatchReference,PASS,"fixed swapped numbering (previously used=2/disabled=3); redeem, status filters, update and invalid-sweep all operate on the reference numbering; guard test prevents regression"
130,security,Fine-grained channel permission layer (catalog + enforcement),"reference service/authz/* (registry, sub/obj/act enforcer over casbin_rule, role seeding, policy sync) + middleware RequirePermission + channel-router per-route permissions + controller authz.go GetPermissionCatalog + user admin_permissions payloads and update touches",service/authz_permission.go + service/authz_permission_adapter.go + middleware/require_permission.go + controller/authz.go + controller/channel_authz.go + controller/admin.go + model/user.go + router/router.go,go test ./controller/ -run 'TestPermission|TestChannelFieldsAreClassified',PASS,"channel resource with read/operate/write/sensitive_write/secret_view actions and root/admin built-in roles (admin baselines: read/operate/write); dedicated permission enforcer over the shared casbin_rule table (exact subject/object/action matcher keeps legacy role x path rules inert); role baselines reseeded idempotently at boot and re-synced every SYNC_FREQUENCY for multi-node; per-route RequirePermission wiring per the reference table (sensitive routes: add/delete/delete-disabled/batch/copy/fetch_models); inline sensitive-write guards in tag edit (param/header overrides) and multi-key manage (delete_key/delete_disabled_keys); fail-closed update-channel classifier (sensitive fields compared old-vs-new, unknown fields treated as sensitive, guard test enforces classification of every request field); PUT /api/user admin_permissions handling (root-only, baseline-matching entries omitted, explicit denies for revoked baselines, policy reload after commit); admin_permissions in GetUser and GetSelf (nested under permissions with the reference sidebar map); catalog endpoint {success,message,data:{resources,roles}} with internal DefaultRoles redacted; UpdateChannel also fixed to take id from the body (route has no :id param — previously updated WHERE id=0)"
131,billing,User top-up/payment batch (info/amount/Epay/Stripe + Epay notify),reference controller/topup.go GetTopUpInfo/RequestAmount/RequestEpay/EpayNotify + controller/topup_stripe.go RequestStripePay/RequestStripeAmount + setting operation_setting payment settings,controller/topup_pay.go + service/topup.go + setting/payment.go + common/url_validator.go + router/router.go,go test ./controller/ -run 'TestTopUp',PASS,"GET /api/user/topup/info with the reference data shape (compliance-gated pay_methods with the reference default catalog and the appended Stripe method, enable flags for epay/stripe and false for not-ported Creem/Waffo, minimums incl. display-type token scaling, amount presets, discounts, topup_link); POST /api/user/amount with the reference {message,data} shape (display-type conversion, unified GroupRatio, Price option, preset discounts, min-topup and money-floor validations); POST /api/user/pay builds the signed Epay purchase URL via the go-epay SDK (same public SDK as the reference) with the USR<id>NO<rand><ts> trade-no format and records the pending order; POST+GET /api/user/epay/notify verifies the callback signature and settles TRADE_SUCCESS idempotently (method-mismatch and tampering rejected with bare success/fail bodies); POST /api/user/stripe/amount and /stripe/pay with the reference validations (method gate, min/max, trusted-redirect-domain checks via TRUSTED_REDIRECT_DOMAINS), a real checkout-session creation via stripe-go (metadata carries user_id/trade_no/quota for the existing webhook), and the pending order with the ref_ trade no; STRIPE_SECRET_KEY stays an env credential (deviation 8); live money movement remains BLOCKED_EXTERNAL (sandbox credentials)"
132,data,Log analytics endpoints (admin stat/list/search + user self + relay-token scoped),"reference controller/log.go (GetLogsStat, GetLogsSelfStat, GetLogs, GetUserLogs, GetLogByKey; SearchAllLogs/SearchUserLogs deprecated responses) + service SumUsedQuota (trailing-60s rpm/tpm window, unconditional type=consume) and FormatUserLogs redaction",service/log_query.go + controller/log_admin.go + router/router.go (admin /log /log/stat /log/search; user /api/log/self /self/stat /self/search; relay /api/log/token with TokenAuthReadOnly),go test ./controller/ -run 'TestLogs|TestLogByKey' -count=1,PASS,"API_MATRIX rows 205-211 all PASS; row 207 live affinity usage-cache statistics completed with routing row 68 in iteration 89"
133,data,Data analytics endpoints (quota histogram + /api/data/*),"reference model/usedata.go quota_data hour-bucketed histogram (LogQuotaData cache + SaveQuotaDataCache flush, DataExportEnabled/DataExportInterval options) + controller/usedata.go GetAllQuotaDates/GetQuotaDatesByUser/GetUserQuotaDates/GetAllFlowQuotaDates/GetUserFlowQuotaDates (role-scoped flow, token/channel name resolution, 30-day self span limit)",service/quota_data.go (cache+flush+options) + service/quota_data_query.go (queries+flow variants+name fillers) + controller/usedata.go + RecordConsumeLog hook + router /api/data group; old /api/data dashboard counters moved to extension /api/dashboard/stats,go test ./controller/ -run 'TestData' -count=1 && go test ./service/ -run 'TestQuotaData|TestDataExport' -count=1,PASS,"API_MATRIX rows 219-223 PASS (219 was a false PASS before — /api/data collided with the old dashboard-stats route); histogram recorded at consume time gated on DataExportEnabled, flushed every DataExportInterval minutes via StartBackgroundJobs"
134,billing,Subscription Stripe pay (checkout + webhook order completion),"reference controller/subscription_payment_stripe.go SubscriptionRequestStripePay (compliance gate, plan/Stripe validation chain, purchase cap, sub_ref_+sha1 trade no, subscription-mode checkout, pending SubscriptionOrder, {message,data} shapes) + model CompleteSubscriptionOrder/ExpireSubscriptionOrder/upsertSubscriptionTopUpTx + webhook fulfillOrder/sessionExpired (client_reference_id, topup fallback)","service/subscription_payment.go (CompleteSubscriptionOrder with user-row lock + createUserSubscriptionFromPlanTx + topup upsert, ExpireSubscriptionOrder, UpdatePendingTopUpStatus, plan getter, purchase-cap count) + controller/subscription_payment.go (pay endpoint + genStripeSubscriptionLink) + controller/stripe.go webhook checkout.session.completed/expired handling + router /api/subscription/stripe/pay",go test ./controller/ -run 'TestSubscriptionStripe' -count=1,PASS,"API_MATRIX row 102 flipped PASS; webhook completion E2E covers order fulfillment (subscription creation, topup row, idempotent duplicate delivery, expiry); live Stripe money movement remains BLOCKED_EXTERNAL"
135,auth,Custom OAuth provider admin CRUD + discovery + admin user bindings,"reference controller/custom_oauth.go (FetchCustomOAuthDiscovery with backend 20s-timeout fetch, Get/Create/Update/DeleteCustomOAuthProvider with binding-required validation, slug uniqueness + built-in conflict checks, client_secret never serialized, delete blocked while user bindings exist) + GetUserOAuthBindingsByAdmin/UnbindCustomOAuthByAdmin (role guard, provider metadata resolution)","controller/custom_oauth_admin.go (6 RootAuth handlers + 2 AdminAuth binding handlers, SSRF-guarded discovery fetch) + router /api/custom-oauth-provider group + /api/user/:id/oauth/bindings routes; model/service layers already existed (validation, slug checks, bindings)",go test ./controller/ -run 'TestCustomOAuth|TestAdminUserOAuth' -count=1,PASS,API_MATRIX rows 86-87 + 131-136 flipped PASS (8 rows); also implemented service.ListOAuthBindings/UnbindOAuth that the in-flight user-bindings refactor references
136,api,System-task log cleanup + task/instance administration,"reference controller/system_task.go CreateLogCleanupTask/GetCurrentSystemTask/GetAllSystemTasks/GetSystemTask + controller/system_instance.go GetSystemInstances/DeleteStaleSystemInstances/DeleteStaleSystemInstance; model/system_task.go task response JSON decoding; service/system_task.go log cleanup batch runner","controller/system_admin.go + service/system_task.go log_cleanup handler + model/system_task.go response/list helpers + model/log.go old-log count/batch deletion + model/system.go instance response/list/stale deletion + router/router.go RootAuth groups",go test ./controller/ -run 'TestSystemTaskLogCleanupContract|TestSystemInfoInstancesContract' -count=1,PASS,"API_MATRIX rows 212-218 flipped PASS; cleanup enqueue is active-key deduplicated and processed in 100-row batches with persisted progress/result; task payload/state/result JSON values are decoded; instance status uses the reference 90-second stale threshold; all seven routes require RootAuth"
137,auth,Admin user creation with transactional permission provisioning,"reference controller/user.go CreateUser + model.User InsertWithTx/FinishInsert + updateAdminPermissionsForUserInTx + recordManageAuditFor; AdminAuth POST /api/user/","controller/admin_user.go CreateUser + service/user.go InsertAdminUserWithTx/FinishAdminUserCreation + model/user.go validation tags + router/router.go POST /api/user/",go test ./controller/ -run 'TestAdminCreateUser' -count=1,PASS,"API_MATRIX row 90 flipped PASS; HTTP-200 business errors; username trim and reference length validation; clean four-field whitelist prevents quota/group/status/email/affiliate injection; password bcrypt + InitialQuota/default group/status/auth-version/4-char affiliate defaults; role hierarchy; user+permission transaction with rollback and policy reload; role sidebar initialization; initial-quota and actor-owned create audit logs"
138,billing,Versioned root-session payment compliance and option security,"reference controller/payment_compliance.go ConfirmPaymentCompliance + setting/operation_setting/payment_setting.go current-terms gate + controller/option.go RootAuth/sensitive filtering/compliance-key denial","controller/payment_compliance.go + service/payment_compliance.go + setting/setting.go atomic option batch + middleware/auth.go PAT marker + controller/admin.go root-only filtered option API + router/router.go + AdminConsole compliance panel",go test ./controller/ -run 'TestPaymentCompliance|TestRootOption|TestOptionAndCompliance' -count=1,PASS,"API_MATRIX row 122 flipped PASS; compliance requires an explicit root dashboard session (PAT forbidden), persists confirmed/version/at/by/IP atomically and audits without secrets; gate requires current v1 terms; generic updates cannot modify compliance keys or enable positive affiliate bonuses before confirmation; option GET/PUT moved from AdminAuth to RootAuth and Token/Secret/Key values are omitted; frontend hides options from ordinary admins and provides an explicit acknowledgement action"
139,billing,Root model-pricing reset and node-local live cache synchronization,reference controller/ratio.go ResetModelRatio + ratio_setting.DefaultModelRatio2JSONString/UpdateModelRatioByJSONString; RootAuth POST /api/option/rest_model_ratio,controller/pricing_admin.go + service/pricing_reset.go + service/quota.go race-safe defensive-copy registries + controller/admin.go validated ModelPrice/GroupRatio write-through + service/jobs.go every-node runtime option sync + AdminConsole reset workflow,go test ./controller/ -run 'TestResetModelRatio|TestPricingOptionsWriteThrough' -count=1 + go test -race ./service/ -run TestPricingRegistriesConcurrentAccess + bash scripts/tokenrouter-acceptance.sh,PASS,"API_MATRIX row 125 flipped PASS; root-only reset atomically persists the built-in USD/1M ModelPrice registry and independently derived compatibility ModelRatio map, then changes ComputeQuota immediately; invalid generic writes cannot persist or replace live caches; remote DB option changes refresh coherent pricing snapshots on every node instead of one lease winner; frontend reset requires explicit browser confirmation; full acceptance passed twice consecutively without intervening code changes"
140,ops,"Detailed performance metrics recording, persistence, and public series API",reference controller/perf_metrics.go GetPerfMetrics + pkg/perf_metrics hot buckets/query/flush + model/perf_metric.go atomic upsert + relay success/failure sample hooks + perf_metrics_setting defaults,controller/metrics.go GET /api/perf-metrics + service/perf_metrics.go atomic hot buckets/query/flush/retention + model/perf_metric.go portable conflict upsert/query + relay/controller.go first-response timing and success/failure hooks + settings and HomeView performance card,go test ./service/ -run TestPerfMetrics -count=1 + go test ./controller/ -run TestPerfMetricsContract -count=1 + go test ./relay/ -run 'TestRelayChatCompletionsEndToEnd|TestClaudeMessagesViaOpenAIChannelStream|TestRelaySubscriptionRefundOnUpstreamFailure' -count=1 + go test -race ./service/ + bash scripts/tokenrouter-acceptance.sh,PASS,"API_MATRIX row 14 flipped PASS and row 13 summary contract corrected; model-required 400, 24h default/30-day clamp, optional group filter, active-group filtering, stable series schema, chronological series, TTFT/latency/success/TPS, recent rates, request-count privacy, enabled/bucket/flush/retention settings, every-node flusher, atomic cross-database upsert, no double count after flush, concurrent recording/query and relay success/stream/failure hooks covered; full acceptance passed twice consecutively without intervening code changes"
141,routing,"Settings-driven affinity cache controls, usage observability, and multi-node cache behavior","reference ChannelAffinitySetting + channel_affinity cache/usage services + API rows 123/124/207","setting/channel_affinity.go validated atomic snapshots + service/affinity.go bounded memory/Redis caches and counters + relay lifecycle hooks + controller routes + AdminConsole controls","go test -race ./setting/ ./service/ + go test ./controller/ -run TestChannelAffinity -count=1 + go test ./relay/ -run 'TestRelayAffinityOverridesPriorityAndSkipsRetry|TestRelayRetriesToSecondChannel' -count=1 + npm --prefix web run typecheck + bash scripts/tokenrouter-acceptance.sh",PASS,"iteration 89 replaces the old per-user/model 30-minute sticky map; API_MATRIX rows 123, 124, and 207 flipped PASS; validated remote option sync cannot publish malformed rules; Redis cache entries and usage counters are shared across nodes while single-node deployments use bounded LRU memory; cache/admin metadata exposes fingerprints rather than raw affinity values"
142,api,"Configured-group listing and reusable prefill-group CRUD","reference controller/group.go + controller/prefill_group.go + model/prefill_group.go; API rows 224-228","controller/prefill_group.go + service/prefill_group.go + model/prefill_group.go + model/json_value.go + router/router.go + AdminConsole prefill workflow","go test ./controller/ -run 'TestConfiguredGroups|TestPrefillGroup' -count=1 + go test -race ./model/ ./service/ -run 'TestJSONValue|TestEnsurePrefillGroup|TestConcurrentPrefillGroup|TestUpdatePrefillGroup' -count=1 + npm --prefix web run typecheck + bash scripts/tokenrouter-acceptance.sh",PASS,"iteration 90 flips API rows 224-228 PASS and database PrefillGroup PASS; group keys are deterministic; prefill items retain array/string JSON wire shapes; create/update validation and unique active names are race-tested; missing-ID update cannot upsert; soft deletes allow name reuse; SQLite upgrades repair the legacy non-partial unique index; admin UI supports filter/create/edit/delete with endpoint JSON validation"
143,api,"Admin model metadata registry and upstream synchronization","reference controller/model_meta.go + controller/missing_models.go + controller/model_sync.go; API rows 239-247","model/model_meta.go + model/model_registry.go + model/main.go + service/model_meta.go + service/model_sync.go + controller/model_meta.go + controller/model_sync.go + router/router.go","go test ./controller/ -run TestModelMetadata -count=1 + go test -race ./model/ -run 'TestEnsureRegistryActiveNames|TestDeleteModelMetadata|TestConcurrentModelName' -count=1 + bash scripts/verify-api-matrix.sh + bash scripts/tokenrouter-acceptance.sh",PASS,"iteration 91 flips API rows 239-247 PASS; admin CRUD/search/get/list use paged vendor counts and rule-aware channel/group/quota enrichment; missing abilities are discovered; preview/apply use bounded SSRF-safe concurrent metadata fetches with retry/ETag cache and local mock coverage; model/vendor active-name columns enforce cross-database concurrent uniqueness while preserving soft-delete reuse; malformed sync bodies and missing-ID mutations fail instead of silently succeeding"
144,api,"Role-scoped asynchronous task history and Midjourney image forwarding","reference controller/task.go + controller/midjourney.go + model/task.go + model/midjourney.go + relay/mjproxy_handler.go; API rows 229-232 and 306","service/task_history.go + controller/task_history.go + controller/midjourney_image.go + router/router.go + setting/setting.go","go test ./controller/ -run 'TestTaskHistory|TestMidjourneyHistory|TestMidjourneyImage' -count=1 + go test -race ./controller/ ./service/ -run 'TestTaskHistory|TestMidjourneyHistory|TestMidjourneyImage' -count=1 + bash scripts/verify-api-matrix.sh + bash scripts/tokenrouter-acceptance.sh",PASS,"iteration 92 adds UserAuth self and AdminAuth cross-user pages with exact filters, descending IDs, paging aliases/bounds, typed task DTO JSON, admin usernames, channel suppression for self, private-data redaction with result_url projection, explicit database errors, configurable Midjourney forward URLs, and a public 32 MiB SSRF-safe MIME-hardened image proxy; API rows 229-232 and 306 PASS; Database Midjourney PASS"
145,api,"Dashboard playground chat completions with real relay billing","reference controller/playground.go + middleware/distributor.go playground group override + POST /pg/chat/completions API row 275","controller/relay.go Playground + middleware/auth.go SetupRelayTokenContext + constant/api_type.go + router/router.go","go test ./controller/ -run TestPlayground -count=1 + go test -race ./controller/ ./middleware/ -run 'TestPlayground|TestRoleGuards' -count=1 + bash scripts/verify-api-matrix.sh + bash scripts/tokenrouter-acceptance.sh",PASS,"iteration 93 adds the UserAuth playground route, rejects dashboard PATs with the reference OpenAI error, derives or authorizes a request group, installs a request-local unlimited playground-{group} token, delegates non-stream and SSE requests to the full channel-selection/funding/settlement/log lifecycle, strips group upstream, and never persists or charges a token row; API row 275 PASS"
146,provider,"Official Jimeng asynchronous task relay with atomic per-call billing","reference router/video-router.go + middleware/jimeng_adapter.go + relay/channel/task/jimeng + controller.RelayTask + model.Task","middleware/jimeng.go + relay/channel/jimeng/jimeng.go + relay/jimeng_task.go + service/quota.go + service/billing_session.go + service/token.go + model/task.go + router/router.go","go test ./relay/channel/jimeng ./service/ ./relay/ ./controller/ -run 'TestJimeng|TestComputePerCall|TestCommitAcceptedPerCall|TestPersistJimeng' -count=1 + go test -race ./common/... ./service/... ./relay/... ./controller/... -run 'TestQuota|TestComputePerCall|TestCommitAcceptedPerCall|TestPersistJimeng|TestJimeng' -count=1 + bash scripts/verify-api-matrix.sh + bash scripts/tokenrouter-acceptance.sh",IN_PROGRESS,"iteration 94 closes API row 339 with direct HMAC and gateway bearer provider contracts, request/image/response bounds, model/frame normalization, public/private task IDs, owner-scoped cached polling, strict one/two-unit decimal pricing, pre-dispatch wallet/subscription/token reservations, definitive refunds, no post-dispatch retry, tracked UNKNOWN ambiguous outcomes, and idempotent atomic accepted-task metadata plus user/token settlement; independent review findings are regression-tested; live Jimeng remains blocked by credentials"
